MGI_ID	GROUP
MGI:3704272	1
MGI:3704295	1
MGI:3704296	1
MGI:3704308	1
MGI:3704322	1
MGI:3704330	1
MGI:3704336	1
MGI:3704342	1
MGI:3704345	1
MGI:3704348	1
MGI:3704354	1
MGI:3704410	1
MGI:3704412	1
MGI:3704449	1
MGI:3704451	1
MGI:3704503	1
MGI:3705349	1
MGI:3705371	1
MGI:3705429	1
MGI:3705475	1
MGI:3705507	1
MGI:3705702	1
MGI:3705734	1
MGI:3705743	1
MGI:3705781	1
MGI:3705885	1
MGI:3708621	1
MGI:3708627	1
MGI:3708640	1
MGI:3708673	1
MGI:3708709	1
MGI:3710579	1
MGI:3710580	1
MGI:3779109	1
MGI:3780170	1
MGI:3781353	1
MGI:3781540	1
MGI:3781708	1
MGI:3782325	1
MGI:3782381	1
MGI:3782526	1
MGI:3782947	1
MGI:3782952	1
MGI:3782963	1
MGI:3783151	1
MGI:3783241	1
MGI:3805541	1
MGI:3809095	1
MGI:3826365	1
MGI:4415000	1
MGI:87904	1
MGI:87918	1
MGI:87990	1
MGI:88024	1
MGI:88034	1
MGI:88096	1
MGI:88115	1
MGI:88127	1
MGI:88208	1
MGI:88244	1
MGI:88252	1
MGI:88261	1
MGI:88268	1
MGI:88269	1
MGI:88315	1
MGI:88323	1
MGI:88351	1
MGI:88357	1
MGI:88375	1
MGI:88431	1
MGI:88452	1
MGI:88473	1
MGI:88562	1
MGI:894689	1
MGI:95288	1
MGI:95309	1
MGI:95401	1
MGI:95402	1
MGI:95403	1
MGI:95513	1
MGI:95588	1
MGI:95589	1
MGI:95590	1
MGI:95659	1
MGI:95777	1
MGI:95784	1
MGI:95834	1
MGI:95835	1
MGI:95880	1
MGI:95896	1
MGI:96015	1
MGI:96016	1
MGI:96021	1
MGI:96022	1
MGI:96112	1
MGI:96242	1
MGI:96247	1
MGI:96250	1
MGI:96495	1
MGI:96617	1
MGI:96757	1
MGI:96837	1
MGI:96853	1
MGI:96897	1
MGI:96976	1
MGI:97050	1
MGI:97503	1
MGI:97505	1
MGI:97549	1
MGI:97791	1
MGI:97803	1
MGI:97850	1
MGI:98037	1
MGI:98038	1
MGI:98073	1
MGI:98085	1
MGI:98107	1
MGI:98117	1
MGI:98146	1
MGI:98147	1
MGI:98158	1
MGI:98159	1
MGI:98166	1
MGI:98180	1
MGI:98181	1
MGI:98283	1
MGI:98284	1
MGI:98285	1
MGI:98342	1
MGI:98373	1
MGI:98387	1
MGI:98423	1
MGI:98535	1
MGI:98763	1
MGI:98790	1
MGI:98817	1
MGI:98822	1
MGI:98887	1
MGI:98888	1
MGI:98889	1
MGI:98916	1
MGI:98917	1
MGI:99146	1
MGI:99262	1
MGI:99495	1
MGI:99510	1
MGI:99926	1
MGI:99927	1
MGI:99960	1
